Time	Voltage
0.000125	0.000137331197070268
0.00025	-0.000686655985351339
0.000375	-0.000442511635004196
0.0005	-0.000717174029144732
0.000625	-0.000564583810177768
0.00075	-0.000503547722590982
0.000875	-0.000717174029144732
0.001	-0.000656137941557946
0.001125	-0.000534065766384375
0.00125	-0.000503547722590982
0.001375	-0.000595101853971161
0.0015	-0.000564583810177768
0.001625	-0.000503547722590982
0.00175	-0.000595101853971161
0.001875	-0.000595101853971161
0.002	-0.000534065766384375
0.002125	-0.000534065766384375
0.00225	-0.000747692072938125
0.002375	-0.00080872816052491
0.0025	-0.000625619897764553
0.002625	-0.000717174029144732
0.00275	-0.000686655985351339
0.002875	-0.000564583810177768
0.003	-0.000564583810177768
0.003125	-0.000717174029144732
0.00325	-0.000747692072938125
0.003375	-0.000595101853971161
0.0035	-0.000656137941557946
0.003625	-0.000503547722590982
0.00375	-0.000778210116731518
0.003875	-0.00080872816052491
0.004	-0.000656137941557946
0.004125	-0.000625619897764553
0.00425	-0.000442511635004196
0.004375	-0.000350957503624018
0.0045	-0.000442511635004196
0.004625	-0.000411993591210803
0.00475	-0.000839246204318303
0.004875	-0.000564583810177768
0.005	-0.000198367284657053
0.005125	-0.000534065766384375
0.00525	-0.000442511635004196
0.005375	-0.000442511635004196
0.0055	-0.000717174029144732
0.005625	-0.000595101853971161
0.00575	-0.000411993591210803
0.005875	-0.000320439459830625
0.006	-0.000411993591210803
0.006125	-0.000473029678797589
0.00625	-0.000595101853971161
0.006375	-0.000503547722590982
0.0065	-0.000503547722590982
0.006625	-0.000411993591210803
0.00675	-0.000473029678797589
0.006875	-0.000411993591210803
0.007	-0.000381475547417411
0.007125	-0.000381475547417411
0.00725	-0.000289921416037232
0.007375	-0.000381475547417411
0.0075	-0.000442511635004196
0.007625	-0.000411993591210803
0.00775	-0.000320439459830625
0.007875	-0.000350957503624018
0.008	-0.000289921416037232
0.008125	-0.000473029678797589
0.00825	-0.000534065766384375
0.008375	-0.000320439459830625
0.0085	-0.000350957503624018
0.008625	-0.000534065766384375
0.00875	-0.000350957503624018
0.008875	-0.000350957503624018
0.009	-0.000350957503624018
0.009125	-0.000198367284657053
0.00925	-0.000228885328450446
0.009375	-0.000381475547417411
0.0095	-0.000259403372243839
0.009625	-0.000228885328450446
0.00975	-0.000381475547417411
0.009875	-0.000228885328450446
0.01	-0.000473029678797589
0.010125	-0.000289921416037232
0.01025	-0.000503547722590982
0.010375	-0.000656137941557946
0.0105	-0.000595101853971161
0.010625	-0.000503547722590982
0.01075	-0.000564583810177768
0.010875	-0.000534065766384375
0.011	-0.000473029678797589
0.011125	-0.000503547722590982
0.01125	-0.000442511635004196
0.011375	-0.000411993591210803
0.0115	-0.000503547722590982
0.011625	-0.000747692072938125
0.01175	-0.000595101853971161
0.011875	-0.000442511635004196
0.012	-0.000411993591210803
0.012125	-0.000564583810177768
0.01225	-0.000564583810177768
0.012375	-0.000625619897764553
0.0125	-0.000534065766384375
0.012625	-0.000411993591210803
0.01275	-0.000595101853971161
0.012875	-0.000473029678797589
0.013	-0.000137331197070268
0.013125	-0.000350957503624018
0.01325	-0.000473029678797589
0.013375	-0.000564583810177768
0.0135	-0.000595101853971161
0.013625	-0.000564583810177768
0.01375	-0.000381475547417411
0.013875	-0.000534065766384375
0.014	-0.000503547722590982
0.014125	-0.000442511635004196
0.01425	-0.000534065766384375
0.014375	-0.000564583810177768
0.0145	-0.000778210116731518
0.014625	-0.000442511635004196
0.01475	-0.000869764248111696
0.014875	-0.000686655985351339
0.015	-0.000747692072938125
0.015125	-0.000595101853971161
0.01525	-0.000625619897764553
0.015375	-0.000656137941557946
0.0155	-0.000686655985351339
0.015625	-0.000625619897764553
0.01575	-0.000656137941557946
0.015875	-0.000778210116731518
0.016	-0.000656137941557946
0.016125	-0.000900282291905089
0.01625	-0.000839246204318303
0.016375	-0.000778210116731518
0.0165	-0.000747692072938125
0.016625	-0.000930800335698482
0.01675	-0.000900282291905089
0.016875	-0.000839246204318303
0.017	-0.000717174029144732
0.017125	-0.000686655985351339
0.01725	-0.000473029678797589
0.017375	-0.000503547722590982
0.0175	-0.000686655985351339
0.017625	-0.000656137941557946
0.01775	-0.000778210116731518
0.017875	-0.000717174029144732
0.018	-0.000656137941557946
0.018125	-0.000839246204318303
0.01825	-0.000595101853971161
0.018375	-0.000564583810177768
0.0185	-0.000503547722590982
0.018625	-0.000595101853971161
0.01875	-0.000595101853971161
0.018875	-0.000534065766384375
0.019	-0.000595101853971161
0.019125	-0.000595101853971161
0.01925	-0.000564583810177768
0.019375	-0.000595101853971161
0.0195	-0.00080872816052491
0.019625	-0.000442511635004196
0.01975	-0.000564583810177768
0.019875	-0.000381475547417411
0.02	-0.000625619897764553
0.020125	-0.000625619897764553
0.02025	-0.000625619897764553
0.020375	-0.000778210116731518
0.0205	-0.000534065766384375
0.020625	-0.000289921416037232
0.02075	-0.000564583810177768
0.020875	-0.000442511635004196
0.021	-0.000381475547417411
0.021125	-0.000656137941557946
0.02125	-0.000411993591210803
0.021375	-0.000503547722590982
0.0215	-0.000656137941557946
0.021625	-0.000686655985351339
0.02175	-0.000717174029144732
0.021875	-0.000656137941557946
0.022	-0.000656137941557946
0.022125	-0.000503547722590982
0.02225	-0.000595101853971161
0.022375	-0.000564583810177768
0.0225	-0.000411993591210803
0.022625	-0.000564583810177768
0.02275	-0.000381475547417411
0.022875	-0.000411993591210803
0.023	-0.000534065766384375
0.023125	-0.000717174029144732
0.02325	-0.000534065766384375
0.023375	-0.000442511635004196
